name,id,catalog
Sun,Sun,solar
Moon,Moon,solar
Mercury,Mercury,solar
Venus,Venus,solar
Earth,Earth,solar
Mars,Mars,solar
Jupiter,Jupiter,solar
Saturn,Saturn,solar
Uranus,Uranus,solar
Neptune,Neptune,solar
Pluto,Pluto,solar
Ceres,Ceres,solar
Vesta,Vesta,solar
Io,Io,solar
Europa,Europa,solar
Ganymede,Ganymede,solar
Callisto,Callisto,solar
Titan,Titan,solar
Enceladus,Enceladus,solar
Iapetus,Iapetus,solar
Mimas,Mimas,solar
Dione,Dione,solar
Rhea,Rhea,solar
Tethys,Tethys,solar
Triton,Triton,solar
Charon,Charon,solar
Phobos,Phobos,solar
Deimos,Deimos,solar
Comet Halley,Comet Halley,comet
Halley's Comet,Comet Halley,comet
Comet Hale-Bopp,Comet Hale-Bopp,comet
Comet Hyakutake,Comet Hyakutake,comet
Comet NEOWISE,Comet NEOWISE,comet
Comet McNaught,Comet McNaught,comet
Comet Lovejoy,Comet Lovejoy,comet
Comet ISON,Comet ISON,comet
Comet Leonard,Comet Leonard,comet
Comet Holmes,Comet Holmes,comet
Comet Tsuchinshan-ATLAS,Comet Tsuchinshan-ATLAS,comet
Churyumov-Gerasimenko,67P,comet
67P,67P,comet
Milky Way,Milky Way,named
Large Magellanic Cloud,Large Magellanic Cloud,named
Small Magellanic Cloud,Small Magellanic Cloud,named
LMC,LMC,named
SMC,SMC,named
Orion Nebula,M42,messier
Great Nebula in Orion,M42,messier
Andromeda Galaxy,M31,messier
Pleiades,M45,messier
Ring Nebula,M57,messier
Crab Nebula,M1,messier
Lagoon Nebula,M8,messier
Trifid Nebula,M20,messier
Eagle Nebula,M16,messier
Sombrero Galaxy,M104,messier
Whirlpool Galaxy,M51,messier
Beehive Cluster,M44,messier
Dumbbell Nebula,M27,messier
Owl Nebula,M97,messier
Sunflower Galaxy,M63,messier
Pinwheel Galaxy,M101,messier
Cigar Galaxy,M82,messier
Triangulum Galaxy,M33,messier
Black Eye Galaxy,M64,messier
Wild Duck Cluster,M11,messier
Swan Nebula,M17,messier
Omega Nebula,M17,messier
Butterfly Cluster,M6,messier
Ptolemy Cluster,M7,messier
Southern Pinwheel,M83,messier
Little Dumbbell,M76,messier
Horsehead Nebula,Barnard 33,barnard
Helix Nebula,NGC 7293,ngc
Rosette Nebula,NGC 2237,ngc
North America Nebula,NGC 7000,ngc
Veil Nebula,NGC 6960,ngc
Cone Nebula,NGC 2264,ngc
Christmas Tree Cluster,NGC 2264,ngc
Flame Nebula,NGC 2024,ngc
Carina Nebula,NGC 3372,ngc
Tarantula Nebula,NGC 2070,ngc
Omega Centauri,NGC 5139,ngc
Cat's Eye Nebula,NGC 6543,ngc
Eskimo Nebula,NGC 2392,ngc
California Nebula,NGC 1499,ngc
Bubble Nebula,NGC 7635,ngc
Crescent Nebula,NGC 6888,ngc
Jewel Box,NGC 4755,ngc
Sculptor Galaxy,NGC 253,ngc
Antennae Galaxies,NGC 4038,ngc
Iris Nebula,NGC 7023,ngc
Fireworks Galaxy,NGC 6946,ngc
Needle Galaxy,NGC 4565,ngc
Cat's Paw Nebula,NGC 6334,ngc
Heart Nebula,IC 1805,ic
Soul Nebula,IC 1848,ic
Elephant's Trunk Nebula,IC 1396,ic
Witch Head Nebula,IC 2118,ic
Flaming Star Nebula,IC 405,ic
Seagull Nebula,IC 2177,ic
Cocoon Nebula,IC 5146,ic
Betelgeuse,Betelgeuse,star
Sirius,Sirius,star
Antares,Antares,star
Polaris,Polaris,star
Vega,Vega,star
Deneb,Deneb,star
Altair,Altair,star
Rigel,Rigel,star
Arcturus,Arcturus,star
Aldebaran,Aldebaran,star
Spica,Spica,star
Canopus,Canopus,star
Capella,Capella,star
